chamber,state,district,party,lastName,firstName,phonetic,officialFullName,middleName,suffix,nickname,address,phone,fax,url,caucusesWith,startTerm,endTerm,stateRankSenate,classSenate,gender,birthday,religion,raceEthnicity,lgbtq,contactForm,office,rssUrl,pre2018incumbent,2016presidentClinton,2016presidentTrump,2012presidentObama,2012presidentObama,2008presidentObama,2008presidentMccain,2018senateDem,2018senateRep,priorSenateElectionDem,priorSenateElectionRep,2018houseDem,2018houseRep,2016houseDem,2016houseRep,2014houseDem,2014houseRep,whiteACS2012-16citizenAdultPopulation,blackACS2012-16citizenAdultPopulation,latinoACS2012-16citizenAdultPopulation,asianPacificIslanderACS2012-16citizenAdultPopulation,nativeACS2012-16citizenAdultPopulation,otherACS2012-16citizenAdultPopulation,white2010censusAdultPopulation,black2010censusAdultPopulation,latino2010censusAdultPopulation,asianPacificIslander2010censusAdultPopulation,native2010censusAdultPopulation,other2010censusAdultPopulation,bachelorsPlusACS2013-17,bachelorsPlusRankACS2013-17,whiteBachelorsPlusACS2013-17,whiteBachelorsPlusRankACS2013-17,medianHouseholdIncomeACS2013-17,householdIncomeRankACS2013-17,nonCollegeWhiteShare,citizenPopulation,whiteCitizenPopulation,blackCitizenPopulation,latinoCitizenPopulation,asianPacificIslanderCitizenPopulation,nativeAmericanCitizenPopulation,otherCitizenPopulation,citizenVotingAgePopulation,whiteCitizenVotingAgePopulation,blackCtizenVotingAgePopulation,latinoCitizenVotingAgePopulation,asianPacificIslanderCitizenVotingAgePopulation,nativeCitizenVotingAgePopulation,otherCitizenVotingAgePopulation,censusTotalPopulation,censusWhitePopulation,censusBlackPopulation,censusLatinoPopulation,censusAsianPacificIslanderPopulation,censusNavtiveAmericanPopulation,censusOtherPopulation
rep,AK,0,Republican,Young,Don,(DAHN YUHNG),Don Young,E.,,,2314 Rayburn House Office Building Washington DC 20515-0200,(202) 225-5765,,https://donyoung.house.gov,,1/3/19,1/3/21,,,M,6/9/33,Episcopalian,White - Non-Hispanic,No,,2314 Rayburn House Office Building,http://donyoung.house.gov/news/rss.aspx,Won,37.63780393,52.80649759,41.20621588,55.3300294,38.09139296,59.74136045,,,,,46.49709745,53.08187379,36.02197289,50.3208976,40.96737868,50.96648494,67.92027434,3.129914174,5.35798867,5.044428866,12.99141737,5.555976582,68.3612353,3.077333067,4.656932291,6.165402578,13.23918495,4.499911808,29.6,209,36.7,174,76440,65,42.9,712745,452800,21855,45260,38585,100690,53555,527810,358490,16520,28280,26625,68570,29325,708570,454831,21862,39038,44357,102124,46358
sen,AK,,Republican,Murkowski,Lisa,(LEE-suh mer-KOW-skee),Lisa Murkowski,A.,,,522 Hart Senate Office Building Washington DC 20510,202-224-6665,202-224-5301,https://www.murkowski.senate.gov,,1/3/17,1/3/23,senior,3,F,5/22/57,Roman Catholic,White - Non-Hispanic,No,https://www.murkowski.senate.gov/public/index.cfm/contact,522 Hart Senate Office Building,http://www.murkowski.senate.gov/public/?a=rss.feed,Not up,36.55087129,51.28151208,40.81265911,54.8015774,37.8893736,59.42451954,,,11.62338934,44.35800039,,,,,,,67.92027434,3.129914174,5.35798867,5.044428866,12.99141737,5.555976582,68.3612353,3.077333067,4.656932291,6.165402578,13.23918495,4.499911808,29.6,,36.7,,76114,3,42.99353366,712745,452800,21855,45260,38585,100690,53555,527810,358490,16520,28280,26625,68570,29325,708570,454831,21862,39038,44357,102124,46358
sen,AK,,Republican,Sullivan,Dan,(DAN SUHL-ih-vuhn),Dan Sullivan,,,,702 Hart Senate Office Building Washington DC 20510,202-224-3004,,https://www.sullivan.senate.gov,,1/6/15,1/3/21,junior,2,M,11/13/64,,White - Non-Hispanic,No,https://www.sullivan.senate.gov/contact/email,702 Hart Senate Office Building,,Not up,36.55087129,51.28151208,40.81265911,54.8015774,37.8893736,59.42451954,,,45.83250708,47.96211048,,,,,,,67.92027434,3.129914174,5.35798867,5.044428866,12.99141737,5.555976582,68.3612353,3.077333067,4.656932291,6.165402578,13.23918495,4.499911808,29.6,,36.7,,76114,3,42.99353366,712745,452800,21855,45260,38585,100690,53555,527810,358490,16520,28280,26625,68570,29325,708570,454831,21862,39038,44357,102124,46358
rep,AL,1,Republican,Byrne,Bradley,(BRAD-lee BURN),Bradley Byrne,,,,119 Cannon House Office Building Washington DC 20515-0101,(202) 225-4931,,https://byrne.house.gov,,1/3/19,1/3/21,,,M,2/16/55,,White - Non-Hispanic,No,,119 Cannon House Office Building,,Won,34.05980005,63.47544138,37.38994837,61.8350472,38.45886005,60.93495072,,,,,36.7764831,63.15633282,0,96.38246724,31.71302074,68.15691633,68.69313325,26.5286352,1.821635483,0.916516288,0.983949093,1.055180929,68.48500236,25.63456007,2.501027235,1.340832797,1.070650531,0.967927,24,305,27.7,303,47083,350,49.6,688770,455630,193165,16105,7100,6600,10160,526450,361635,139660,9590,4825,5180,5555,682423,449539,187508,19086,9296,7644,9350
rep,AL,2,Republican,Roby,Martha,(MAR-thuh ROH-bee),Martha Roby,,,,504 Cannon House Office Building Washington DC 20515-0102,(202) 225-2901,,https://roby.house.gov,,1/3/19,1/3/21,,,F,7/27/76,,White - Non-Hispanic,No,,504 Cannon House Office Building,http://roby.house.gov/rss.xml,Won,33.01045984,64.93817912,36.42121823,62.88707808,34.99776667,64.45965645,,,,,38.4259382,61.38841003,40.52620542,48.76854771,32.56406592,67.34245499,66.13171002,29.88184351,1.821376907,0.668938533,0.366022971,1.131078943,66.53220793,27.84194692,3.043395934,1.158869782,0.453487416,0.970092017,21.8,350,24.2,371,42035,396,50.1,671185,425750,208900,18225,4850,2420,11045,514995,340575,153890,9380,3445,1885,5825,686078,438782,201723,24648,7900,3072,9953
rep,AL,3,Republican,Rogers,Mike,(MAHYK RAH-jerz),Mike Rogers,,,,2184 Rayburn House Office Building Washington DC 20515-0103,(202) 225-3261,,https://mikerogers.house.gov,,1/3/19,1/3/21,,,M,7/16/58,,White - Non-Hispanic,No,,2184 Rayburn House Office Building,http://mikerogers.house.gov/rss.xml,Won,32.30877912,65.26754301,36.80067683,62.28045751,36.60955272,62.57612138,,,,,36.2184421,63.71731022,32.9319689,66.93184351,33.72238539,66.12054655,71.36394354,25.10324373,1.67348701,0.698303049,0.28157381,0.878510287,71.45856297,23.92598776,2.250893538,1.144645173,0.325704276,0.894206284,22.8,334,23.7,380,46544,357,54.4,687545,477470,176380,16020,5630,1785,10260,532720,380170,133730,8915,3720,1500,4680,680857,473473,170355,17932,7923,2117,9057
rep,AL,4,Republican,Aderholt,Robert,(RAH-bert AD-er-hoHlt),Robert B. Aderholt,B.,,,1203 Longworth House Office Building Washington DC 20515-0104,(202) 225-4876,,https://aderholt.house.gov,,1/3/19,1/3/21,,,M,7/22/65,Protestant,White - Non-Hispanic,No,,1203 Longworth House Office Building,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Won,17.446668,80.3715526,23.97697674,74.83397388,25.52938599,73.29819055,,,,,20.12910824,79.77477497,0,98.5303453,0,98.57441819,88.80219565,6.930013723,1.815330327,0.456773182,0.74005097,1.25367575,86.87785584,6.54485579,4.333107521,0.454631813,0.742686838,1.046862196,17,412,17.8,426,41110,406,73,664720,573010,46610,26335,3350,4750,10665,510100,452980,35350,9260,2330,3775,6395,681487,578453,46163,38837,3200,5218,9616
rep,AL,5,Republican,Brooks,Mo,(MOH BROOKS),Mo Brooks,,,,2246 Rayburn House Office Building Washington DC 20515-0105,(202) 225-4801,,https://brooks.house.gov,,1/3/19,1/3/21,,,M,4/29/54,,White - Non-Hispanic,No,,2246 Rayburn House Office Building,http://brooks.house.gov/rss/press-releases.xml,Won,31.34798362,64.71347403,34.85062049,63.8693682,36.34137561,62.56707557,,,,,38.89470716,61.02012867,33.15776159,66.69791065,0,74.42409695,77.33854005,17.08782554,2.185498552,1.149815596,0.609336239,1.628984031,76.12138893,16.27268539,3.920631492,1.602243638,0.693585481,1.389465071,30.3,190,31,250,51690,274,53.3,686530,514600,119585,24065,8025,3915,16340,530085,409960,90580,11585,6095,3230,8635,683019,506307,114887,32572,11051,4753,13449
rep,AL,6,Republican,Palmer,Gary,(GAIR-ee PAWL-mer),Gary J. Palmer,,,,207 Cannon House Office Building Washington DC 20515-0106,(202) 225-4921,,https://palmer.house.gov,,1/3/19,1/3/21,,,M,5/14/54,,White - Non-Hispanic,No,,207 Cannon House Office Building,,Won,26.10770383,70.78784535,24.66000515,74.30291115,25.03170426,74.1286906,,,,,30.77088902,69.17809204,25.41982229,74.49393573,23.69920818,76.18142999,81.7923367,14.40239161,1.590496102,1.043396706,0.239355986,0.930068974,80.76647239,12.52587932,4.105508356,1.556528547,0.272566474,0.773044915,36.7,113,38.2,156,61413,165,50.5,673110,533360,100655,20235,8070,1510,9285,511790,418605,73710,8140,5340,1225,4760,682422,537110,91612,33409,10985,1830,7476
rep,AL,7,Democrat,Sewell,Terri,(TAIR-ee SOO-uhl),Terri A. Sewell,A.,,,2201 Rayburn House Office Building Washington DC 20515-0107,(202) 225-2665,,https://sewell.house.gov,,1/3/19,1/3/21,,,F,1/1/65,,Black - African-American,No,,2201 Rayburn House Office Building,http://sewell.house.gov/rss.xml,Won,69.76956734,28.61736992,72.41248049,27.1180419,71.49053465,28.13560396,,,,,97.80453894,0,98.41306624,0,98.37232062,0,35.57479717,62.06036758,1.072357336,0.397385825,0.137331866,0.75678624,35.67957734,60.20120486,2.561761526,0.739572072,0.199027402,0.618856796,19.4,391,28.5,292,34664,431,25.4,662645,215315,426305,10880,2795,930,6425,513355,182625,318590,5505,2040,705,3885,683450,220738,432189,19118,4558,1273,5574
