committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432364,23,B629559,1198125,CCM,CAMPAIGN COMMITTEE,C00466854,C00466854,STEVE FINCHER FOR CONGRESS,TN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-08-18 00:00:00,-5000.00,H,HOUSE,08,H0TN08246,"FINCHER, STEVE",STEVE,FINCHER,,,,TN,TENNESSEE,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:08.469,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,JACKSON,38308,CONTRIBUTIONS,VOIDED: ORIGINAL CHECK DATED 10/04/16,2018,SB,4011820181502916938,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432364,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432364,23,B629565,1198125,CCM,CAMPAIGN COMMITTEE,C00347492,C00347492,TIBERI FOR CONGRESS,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-08-18 00:00:00,-5000.00,H,HOUSE,12,H0OH12062,"TIBERI, PAT",PAT,TIBERI,,,,OH,OHIO,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:10.796,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,COLUMBUS,43231,CONTRIBUTIONS,VOIDED: ORIGINAL CHECK DATED 10/04/16,2018,SB,4011820181502916940,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432364,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432363,23,B594905,1198125,CCM,CAMPAIGN COMMITTEE,C00193623,C00193623,SHELBY FOR U S SENATE,AL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-08-18 00:00:00,-3000.00,S,SENATE,,S6AL00013,"SHELBY, RICHARD C",RICHARD,SHELBY,C,,,AL,ALABAMA,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:10.796,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,TUSCALOOSA,35403,CONTRIBUTIONS,VOIDED: ORIGINAL CHECK DATED 02/19/16,2018,SB,4011820181502916936,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432363,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432362,23,B629553,1198125,CCM,CAMPAIGN COMMITTEE,C00352849,C00352849,CRENSHAW FOR CONGRESS CAMPAIGN,FL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-08-18 00:00:00,-1000.00,H,HOUSE,04,H0FL04066,"CRENSHAW, ANDER",ANDER,CRENSHAW,,,,FL,FLORIDA,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:09.641,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,JACKSONVILLE,32256,CONTRIBUTIONS,VOIDED: ORIGINAL CHECK DATED 10/04/16,2018,SB,4011820181502916930,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432362,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432363,23,B629582,1198125,CCM,CAMPAIGN COMMITTEE,C00503052,C00503052,JEFFRIES FOR CONGRESS,DC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-08-18 00:00:00,-1000.00,H,HOUSE,08,H2NY10092,"JEFFRIES, HAKEEM",HAKEEM,JEFFRIES,,,,NY,NEW YORK,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:10.796,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,WASHINGTON,20008,CONTRIBUTIONS,VOIDED: ORIGINAL CHECK DATED 10/04/16,2018,SB,4011820181502916932,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432363,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432363,23,B629597,1198125,CCM,CAMPAIGN COMMITTEE,C00330142,C00330142,LARSON FOR CONGRESS,CT,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-08-18 00:00:00,-1000.00,H,HOUSE,01,H8CT01046,"LARSON, JOHN B",JOHN,LARSON,B,,,CT,CONNECTICUT,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:09.641,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,HARTFORD,06126,CONTRIBUTIONS,VOIDED: ORIGINAL CHECK DATED 10/04/16,2018,SB,4011820181502916934,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432363,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432366,23,B666661,1198125,CCM,CAMPAIGN COMMITTEE,C00551275,C00551275,FRENCH HILL FOR ARKANSAS,AR,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-10-03 00:00:00,500.00,H,HOUSE,02,H4AR02141,"HILL, FRENCH",FRENCH,HILL,,,,AR,ARKANSAS,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:09.641,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,LITTLE ROCK,72217,CONTRIBUTIONS,,2018,SB,4011820181502916954,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432366,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432372,23,B676708,1198125,CCM,CAMPAIGN COMMITTEE,C00505552,C00505552,HEIDI FOR SENATE,ND,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-12-08 00:00:00,500.00,S,SENATE,,S2ND00099,"HEITKAMP, HEIDI",HEIDI,HEITKAMP,,,,ND,NORTH DAKOTA,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:09.642,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,BISMARCK,58502,CONTRIBUTIONS,,2018,SB,4011820181502916990,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432372,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2018,30G,201812039133902447,23,B710059,1293702,CCM,CAMPAIGN COMMITTEE,C00412304,C00412304,MONTANANS FOR TESTER,MT,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2018-10-25 00:00:00,500.00,S,SENATE,,S6MT00162,"TESTER, JON",JON,TESTER,,,,MT,MONTANA,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-04 02:37:23.4,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4120320181620269087,HELENA,59624,CONTRIBUTIONS,,2018,SB,4120320181620282947,http://docquery.fec.gov/cgi-bin/fecimg/?201812039133902447,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00479246,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,2017,YE,201801189090432364,23,B664592,1198125,CCM,CAMPAIGN COMMITTEE,C00438713,C00438713,FRIENDS OF MARK WARNER,VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-08 00:00:00,1000.00,S,SENATE,,S6VA00093,"WARNER, MARK",MARK,WARNER,,,,VA,VIRGINIA ,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2018-01-19 01:52:08.469,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4011820181502905506,ALEXANDRIA,22314,CONTRIBUTIONS,,2018,SB,4011820181502916942,http://docquery.fec.gov/cgi-bin/fecimg/?201801189090432364,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
