committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00428623,GOOGLE LLC NETPAC,2018,M4,201804209111667279,23,D3007,1226186,PAC,POLITICAL ACTION COMMITTEE,C00525543,C00525543,PROJECT WEST PAC,CO,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 12/2017 DISBURSEMENT,,,2018-03-30 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-27 02:39:06.538,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4042020181526227570,LONE TREE,801245506,CONTRIBUTIONS,,2018,SB,4042620181526686727,http://docquery.fec.gov/cgi-bin/fecimg/?201804209111667279,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,M9,201809209122033257,23,D3145,1262795,PAC,POLITICAL ACTION COMMITTEE,C00343574,C00343574,MAINSTREAM PAC,CA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 5/2018 CONTRIBUTION,,,2018-08-21 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2018-09-21 01:34:18.102,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4092020181591786797,SAN JOSE,951123680,CONTRIBUTIONS,,2018,SB,4092020181591815851,http://docquery.fec.gov/cgi-bin/fecimg/?201809209122033257,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859359,23,D2578,1188895,CCM,CAMPAIGN COMMITTEE,C00502773,C00502773,RUBEN KIHUEN FOR CONGRESS,NV,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 12/2016 DISBURSEMENT,,,2017-09-25 00:00:00,-2500.00,H,HOUSE,04,H2NV00050,"KIHUEN, RUBEN",RUBEN,KIHUEN,,,,NV,NEVADA,P2016,2016 GENERAL DEBT,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:51:49.732,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,LAS VEGAS,891250458,CONTRIBUTIONS,,2018,SB,4102020171458778382,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859359,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,M4,201804209111667278,23,D2986,1226186,CCM,CAMPAIGN COMMITTEE,C00554113,C00554113,RATCLIFFE FOR CONGRESS,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,REDESIGNATION OF 2/18 CONTRIBUTION,X,,2018-03-23 00:00:00,-1000.00,H,HOUSE,04,H4TX04153,"RATCLIFFE, JOHN",JOHN,RATCLIFFE,,,,TX,TEXAS,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-27 02:58:10.065,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4042020181526227570,ROCKWALL,750326670,CONTRIBUTIONS,,2018,SB,4042620181526686721,http://docquery.fec.gov/cgi-bin/fecimg/?201804209111667278,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M11,201711209086770593,23,D2855,1191976,CCM,CAMPAIGN COMMITTEE,C00570960,C00570960,AL FRANKEN FOR SENATE,MN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 3/2016 DISBURSEMENT,,,2017-10-25 00:00:00,-1000.00,S,SENATE,00,S8MN00438,"FRANKEN, AL",AL,FRANKEN,,,,MN,MINNESOTA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2017-11-21 01:53:58.403,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4112020171465709728,MINNEAPOLIS,554583144,CONTRIBUTIONS,,2018,SB,4112020171465744659,http://docquery.fec.gov/cgi-bin/fecimg/?201711209086770593,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,YE,201901319144426826,28A,D3364,1311409,IND,INDIVIDUAL,,,"PASTERNAK, ERIK",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,REFUND,,,2018-12-03 00:00:00,180.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2019-02-22 02:58:53.091,,,,0.00,PASTERNAK,ERIK,,,,,,,,,,Q,C,B,F3X,4013120191636951315,MOUNTAIN VIEW,940431202,REFUNDS,,2018,SB,4022120191640776532,http://docquery.fec.gov/cgi-bin/fecimg/?201901319144426826,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M4,201704209052348453,23,D2631,1159458,CCM,CAMPAIGN COMMITTEE,C00492645,C00492645,FRIENDS OF CHRIS MURPHY,CT,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-03-08 00:00:00,323.03,S,SENATE,,S2CT00132,"MURPHY, CHRIS",CHRIS,MURPHY,,,,CT,CONNECTICUT,P2018,CONVENTION,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4042020171399993105,CHESHIRE,06410,CONTRIBUTIONS,,2018,SB,4042420171400242674,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052348453,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,YE,201901319144426826,28A,D3363,1311409,IND,INDIVIDUAL,,,"PARK, LORI J.",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,REFUND,,,2018-12-03 00:00:00,386.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2019-02-22 02:37:58.778,,,,0.00,PARK,LORI,J.,,,,,,,,,Q,C,B,F3X,4013120191636951315,MOUNTAIN VIEW,940431209,REFUNDS,,2018,SB,4022120191640776530,http://docquery.fec.gov/cgi-bin/fecimg/?201901319144426826,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,YE,201901319144426826,28A,D3362,1311409,IND,INDIVIDUAL,,,"LUNDBERG, SHIE",CA,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,REFUND,,,2018-12-03 00:00:00,479.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2019-02-22 02:38:05.165,,,,0.00,LUNDBERG,SHIE,,,,,,,,,,Q,C,B,F3X,4013120191636951315,MOUNTAIN VIEW,94043,REFUNDS,,2018,SB,4022120191640776528,http://docquery.fec.gov/cgi-bin/fecimg/?201901319144426826,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,YE,201801319091066371,23,D2927,1203630,CCM,CAMPAIGN COMMITTEE,C00338954,C00338954,CROWLEY FOR CONGRESS,NY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-12-08 00:00:00,500.00,H,HOUSE,14,H8NY07046,"CROWLEY, JOSEPH",JOSEPH,CROWLEY,,,,NY,NEW YORK,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-14 01:53:50.799,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4013120181503501593,ELMHURST,11373,CONTRIBUTIONS,,2018,SB,4021320181504514874,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091066371,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
