committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M2,201702209049733105,23,74872857,1150237,PAC,POLITICAL ACTION COMMITTEE,C00398750,C00398750,NEWPAC,CA,NEWPAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - NEWPAC,,,2017-01-31 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4022020171371896332,VISALIA,93290,CONTRIBUTIONS,VOID - NEWPAC,2018,SB,4022220171371919285,http://docquery.fec.gov/cgi-bin/fecimg/?201702209049733105,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338595,23,75230892,1159308,CCM,CAMPAIGN COMMITTEE,C00299404,C00299404,FRELINGHUYSEN FOR CONGRESS,NJ,FRELINGHUYSEN FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - FRELINGHUYSEN FOR CONGRESS,,,2017-03-28 00:00:00,-5000.00,H,HOUSE,11,H2NJ05014,"FRELINGHUYSEN, RODNEY P. REP.",RODNEY,FRELINGHUYSEN,P.,REP.,,NJ,NEW JERSEY,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,MORRISTOWN,07960,CONTRIBUTIONS,VOID - FRELINGHUYSEN FOR CONGRESS,2018,SB,4042120171400187222,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338595,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338598,23,75230902,1159308,CCM,CAMPAIGN COMMITTEE,C00286187,C00286187,THORNBERRY FOR CONGRESS COMMITTEE,TX,THORNBERRY FOR CONGRESS COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - THORNBERRY FOR CONGRESS COMMITTEE,,,2017-03-28 00:00:00,-5000.00,H,HOUSE,13,H4TX13014,"THORNBERRY, MAC REP.",MAC,THORNBERRY,,REP.,,TX,TEXAS,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,AMARILLO,79105,CONTRIBUTIONS,VOID - THORNBERRY FOR CONGRESS COMMITTEE,2018,SB,4042120171400187241,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338598,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338598,23,75230903,1159308,CCM,CAMPAIGN COMMITTEE,C00286187,C00286187,THORNBERRY FOR CONGRESS COMMITTEE,TX,THORNBERRY FOR CONGRESS COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - THORNBERRY FOR CONGRESS COMMITTEE,,,2017-03-28 00:00:00,-5000.00,H,HOUSE,13,H4TX13014,"THORNBERRY, MAC REP.",MAC,THORNBERRY,,REP.,,TX,TEXAS,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,AMARILLO,79105,CONTRIBUTIONS,VOID - THORNBERRY FOR CONGRESS COMMITTEE,2018,SB,4042120171400187243,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338598,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338599,23,75230904,1159308,PAC,POLITICAL ACTION COMMITTEE,C00404418,C00404418,STAND TALL AMERICA PAC (STAPAC),TX,STAND TALL AMERICA PAC (STAPAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - STAND TALL AMERICA PAC (STAPAC),,,2017-03-28 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,AMARILLO,79105,CONTRIBUTIONS,VOID - STAND TALL AMERICA PAC (STAPAC),2018,SB,4042120171400187245,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338599,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338599,23,75230906,1159308,PAC,POLITICAL ACTION COMMITTEE,C00403592,C00403592,NARRAGANSETT BAY PAC,RI,NARRAGANSETT BAY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - NARRAGANSETT BAY PAC,,,2017-03-28 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,CRANSTON,02920,CONTRIBUTIONS,VOID - NARRAGANSETT BAY PAC,2018,SB,4042120171400187249,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338599,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338594,23,75230843,1159308,CCM,CAMPAIGN COMMITTEE,C00299404,C00299404,FRELINGHUYSEN FOR CONGRESS,NJ,FRELINGHUYSEN FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - FRELINGHUYSEN FOR CONGRESS,,,2017-03-28 00:00:00,-2500.00,H,HOUSE,11,H2NJ05014,"FRELINGHUYSEN, RODNEY P. REP.",RODNEY,FRELINGHUYSEN,P.,REP.,,NJ,NEW JERSEY,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,MORRISTOWN,07960,CONTRIBUTIONS,VOID - FRELINGHUYSEN FOR CONGRESS,2018,SB,4042120171400187220,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338594,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338595,23,75230893,1159308,CCM,CAMPAIGN COMMITTEE,C00257337,C00257337,KEN CALVERT FOR CONGRESS COMMITTEE,CA,KEN CALVERT FOR CONGRESS COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - KEN CALVERT FOR CONGRESS COMMITTEE,,,2017-03-28 00:00:00,-2500.00,H,HOUSE,42,H2CA37023,"CALVERT, KEN REP.",KEN,CALVERT,,REP.,,CA,CALIFORNIA ,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,CORONA,92877,CONTRIBUTIONS,VOID - KEN CALVERT FOR CONGRESS COMMITTEE,2018,SB,4042120171400187224,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338595,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338596,23,75230897,1159308,PAC,POLITICAL ACTION COMMITTEE,C00513002,C00513002,HOYER MAJORITY FUND,DC,HOYER MAJORITY FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - HOYER MAJORITY FUND,,,2017-03-28 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,WASHINGTON,20005,CONTRIBUTIONS,VOID - HOYER MAJORITY FUND,2018,SB,4042120171400187232,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338596,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00546234,LEIDOS INC. POLITICAL ACTION COMMITTEE,2017,M4,201704209052338597,23,75230898,1159308,PAC,POLITICAL ACTION COMMITTEE,C00271338,C00271338,AMERIPAC: THE FUND FOR A GREATER AMERICA,DC,AMERIPAC: THE FUND FOR A GREATER AMERICA,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - AMERIPAC: THE FUND FOR A GREATER AMERICA,,,2017-03-28 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 08:49:40.197535,,,,0.00,,,,011,Political Contributions,,,,,,,Q,C,B,F3X,4042020171399992967,WASHINGTON,20003,CONTRIBUTIONS,VOID - AMERIPAC: THE FUND FOR A GREATER AMERICA,2018,SB,4042120171400187234,http://docquery.fec.gov/cgi-bin/fecimg/?201704209052338597,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
