committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00398750,NEW PAC,2018,Q1,201804119106285419,21B,B6E94D0D4B9F44B9B9DA,1219216,ORG,ORGANIZATION,,,CARDMEMBER SERVICES - CREDIT CARD,IL,,,,,TRAVEL EXP: REFUND OF OVERPAYMENT/AIR TRANSPORTATION,,,2018-01-08 00:00:00,-1087.96,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-13 02:18:41.549,,,,0.00,,,,002,Travel Expenses,,,,,,,Q,"",D,F3X,4041220181525803444,PALATINE,600944014,OTHER,,2018,SB,4041220181525815759,http://docquery.fec.gov/cgi-bin/fecimg/?201804119106285419,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2018,Q1,201804119106285416,21B,B0FC2EF28B1B845B6B61,1219216,ORG,ORGANIZATION,,,CARDMEMBER SERVICES - CREDIT CARD,IL,,,,,PAC FUNDRAISING: REFUND OF OVERPAYMENT - CATERING/FOOD/ETC,,,2018-01-08 00:00:00,-961.90,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-13 02:21:07.381,,,,0.00,,,,003,Solicitation and Fundraising Expenses ,,,,,,,Q,"",D,F3X,4041220181525803444,PALATINE,600944014,FUNDRAISING,,2018,SB,4041220181525815741,http://docquery.fec.gov/cgi-bin/fecimg/?201804119106285416,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2017,YE,201801319090979938,21B,B9412C2BC8AFF4B118E5,1202689,ORG,ORGANIZATION,,,DELUXE FOR BUSINESS,MN,,,,,CHECK PRINTING FEE,,,2017-08-08 00:00:00,14.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-06 01:52:26.087,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Q,"",D,F3X,4013120181503501076,SAINT PAUL,551640468,ADVERTISING,,2018,SB,4020520181503835776,http://docquery.fec.gov/cgi-bin/fecimg/?201801319090979938,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2018,Q1,201804119106285431,21B,B7CC91AC12C124B02AF2,1219216,ORG,ORGANIZATION,,,"UBER, INC",CA,,,,,TRAVEL EXP; TAXI SERVICE,X,,2018-03-09 00:00:00,16.34,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-13 02:22:35.888,,BF9622BF601A44E8A94A,SB21B,0.00,,,,002,Travel Expenses,,,,,,,Q,"",D,F3X,4041220181525803444,SAN FRANCISCO,94105,OTHER,,2018,SB,4041220181525815831,http://docquery.fec.gov/cgi-bin/fecimg/?201804119106285431,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2018,12G,201810259133475784,21B,B3744BA5F462F41C9B43,1284264,ORG,ORGANIZATION,,,USPS - U. S. POSTMASTER - VISALIA,CA,,,,,OFFICE EXP:  POSTAGE/MAILING,X,,2018-10-01 00:00:00,16.70,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-11-25 02:29:08.861,,BFD40662545114643A72,SB21B,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Q,"",D,F3X,4102620181600793520,VISALIA,932919999,ADMINISTRATIVE,,2018,SB,4112420181619507960,http://docquery.fec.gov/cgi-bin/fecimg/?201810259133475784,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2018,YE,201901289144049824,21B,BC5A70A001A5A4D07845,1308116,ORG,ORGANIZATION,,,"UBER, INC",CA,,,,,TRAVEL EXP; TAXI SERVICE,X,,2018-12-02 00:00:00,18.14,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2019-02-23 02:40:02.37,,BAC23E64E031B4EC2A77,SB21B,0.00,,,,002,Travel Expenses,,,,,,,Q,"",D,F3X,4012920191636901242,SAN FRANCISCO,94105,OTHER,,2018,SB,4022220191643448251,http://docquery.fec.gov/cgi-bin/fecimg/?201901289144049824,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2018,YE,201901289144049821,21B,BF0878498F4924D4784B,1308116,ORG,ORGANIZATION,,,SMART & FINAL,CA,,,,,SUB-VENDOR: OFFICE SUPPLIES,X,,2018-12-02 00:00:00,19.09,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2019-02-23 02:40:02.368,,BA59EB77E5A7344CCA57,SB21B,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Q,"",D,F3X,4012920191636901242,VISALIA,93279,ADMINISTRATIVE,,2018,SB,4022220191643448231,http://docquery.fec.gov/cgi-bin/fecimg/?201901289144049821,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2017,YE,201801319090979942,21B,BCB9F43517837479B93C,1202689,IND,INDIVIDUAL,,,"SHANNON, CAITLIN",DC,,,,,TRAVEL EXP: TAXI SERVICE,,,2017-10-02 00:00:00,20.80,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-06 01:52:21.929,,,,0.00,SHANNON,CAITLIN,,002,Travel Expenses,,,,,,,Q,"",D,F3X,4013120181503501076,WASHINGTON,200024449,OTHER,,2018,SB,4020520181503835804,http://docquery.fec.gov/cgi-bin/fecimg/?201801319090979942,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2017,YE,201801319090979943,21B,B0E78E08EDAF6410F887,1202689,ORG,ORGANIZATION,,,"UBER, INC",CA,,,,,TRAVEL EXP; TAXI SERVICE,X,,2017-10-02 00:00:00,20.80,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-06 01:52:21.929,,BCB9F43517837479B93C,SB21B,0.00,,,,002,Travel Expenses,,,,,,,Q,"",D,F3X,4013120181503501076,SAN FRANCISCO,94105,OTHER,,2018,SB,4020520181503835806,http://docquery.fec.gov/cgi-bin/fecimg/?201801319090979943,Other Federal Operating Expenditures,,,,,,
C00398750,NEW PAC,2018,YE,201901289144049821,21B,BF52BA8CFA5AF4C01A4C,1308116,ORG,ORGANIZATION,,,USPS - U. S. POSTMASTER - VISALIA,CA,,,,,OFFICE EXP:  POSTAGE/MAILING,X,,2018-12-02 00:00:00,24.70,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2019-02-23 02:40:02.368,,BA59EB77E5A7344CCA57,SB21B,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Q,"",D,F3X,4012920191636901242,VISALIA,932919999,ADMINISTRATIVE,,2018,SB,4022220191643448233,http://docquery.fec.gov/cgi-bin/fecimg/?201901289144049821,Other Federal Operating Expenditures,,,,,,
