committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00574376,THUNDERBOLT PAC,2017,YE,201801319091064266,21B,SB21B.4457,1203608,ORG,ORGANIZATION,,,CAMPAIGN SOLUTIONS,VA,,,,,PAC CC TRANSACTION FEES,,,2017-08-01 00:00:00,1.64,,,,,,,,,,,,,P2017,,PRIMARY,2017,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-08 01:53:24.39,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120181503501579,ALEXANDRIA,22314,OTHER,,2018,SB,4020720181504118612,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091064266,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2017,YE,201801319091064266,21B,SB21B.4420,1203608,ORG,ORGANIZATION,,,CAMPAIGN SOLUTIONS,VA,,,,,PAC CC TRANSACTION FEES,,,2017-09-06 00:00:00,1.64,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-08 01:53:24.39,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120181503501579,ALEXANDRIA,22314,OTHER,,2018,SB,4020720181504118614,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091064266,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2017,YE,201801319091064266,21B,SB21B.4428,1203608,ORG,ORGANIZATION,,,CAMPAIGN SOLUTIONS,VA,,,,,PAC CC TRANSACTION FEES,,,2017-10-03 00:00:00,1.64,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-08 01:53:20.128,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120181503501579,ALEXANDRIA,22314,OTHER,,2018,SB,4020720181504118616,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091064266,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2017,YE,201801319091064267,21B,SB21B.4430,1203608,ORG,ORGANIZATION,,,CAMPAIGN SOLUTIONS,VA,,,,,PAC CC TRANSACTION FEES,,,2017-11-02 00:00:00,1.64,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-08 01:53:24.391,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120181503501579,ALEXANDRIA,22314,OTHER,,2018,SB,4020720181504118618,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091064267,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2017,YE,201801319091064267,21B,SB21B.4443,1203608,ORG,ORGANIZATION,,,CAMPAIGN SOLUTIONS,VA,,,,,PAC CC TRANSACTION FEES,,,2017-12-02 00:00:00,1.64,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-08 01:53:16.843,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120181503501579,ALEXANDRIA,22314,OTHER,,2018,SB,4020720181504118620,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091064267,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2017,YE,201801319091064267,21B,SB21B.4454,1203608,ORG,ORGANIZATION,,,CAMPAIGN SOLUTIONS,VA,,,,,PAC CC TRANSACTION FEES,,,2017-12-18 00:00:00,1.64,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-08 01:53:22.26,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120181503501579,ALEXANDRIA,22314,OTHER,,2018,SB,4020720181504118622,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091064267,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2017,30R,201707219067015575,21B,SB21B.4411,1174239,ORG,ORGANIZATION,,,CAMPAIGN SOLUTIONS,VA,,,,,TRANSACTION FEES,,,2017-07-05 00:00:00,211.11,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-28 02:00:27.657,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4072120171426356924,ALEXANDRIA,22314,OTHER,,2018,SB,4072720171441785135,http://docquery.fec.gov/cgi-bin/fecimg/?201707219067015575,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2018,M10,201810199125748663,21B,SB21B.4523,1275893,ORG,ORGANIZATION,,,ANEDOT,LA,,,,,PAC CC TRANSACTION FEES,,,2018-09-12 00:00:00,390.60,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-11-14 02:40:57.919,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4101920181600186729,BATON ROUGE,70884,OTHER,,2018,SB,4111320181617302540,http://docquery.fec.gov/cgi-bin/fecimg/?201810199125748663,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2018,YE,201901319144268887,21B,SB21B.4648,1310424,ORG,ORGANIZATION,,,THE SAHL COMPANY,TX,,,,,PAC FUNDRAISING CONSULTING,,,2018-12-06 00:00:00,500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2019-02-26 02:32:39.557,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120191636950681,DRIPPING SPRINGS,78620,OTHER,,2018,SB,4022520191643651252,http://docquery.fec.gov/cgi-bin/fecimg/?201901319144268887,Other Federal Operating Expenditures,,,,,,
C00574376,THUNDERBOLT PAC,2017,YE,201801319091064269,23,SB23.4426,1203608,CCM,CAMPAIGN COMMITTEE,C00547893,C00547893,ELISE FOR CONGRESS,NY,ELISE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-28 00:00:00,1000.00,H,HOUSE,21,H4NY21079,"STEFANIK, ELISE M.",ELISE M.,STEFANIK,,,,NY,NEW YORK,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-08 01:53:22.26,,,,0.00,,,,,,,,,,,,Q,"",D,F3X,4013120181503501579,GLENS FALLS,12801,CONTRIBUTIONS,,2018,SB,4020720181504118626,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091064269,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
